goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M3 Ultra
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   53703	     20856 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   57549	     20888 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   57604	     20800 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   57638	     20882 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   57705	     20770 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   57340	     20771 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   57796	     20834 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   57489	     20783 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   51080	     21524 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   57876	     20775 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   41301	     28940 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   41457	     29069 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   41385	     29083 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   41354	     29167 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   41128	     29058 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   41344	     31155 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   40863	     29017 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   41313	     28971 ns/op	   57056 B/op	    1128 allocs/op
