goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M3 Ultra
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-32         	   59235	     20387 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-32         	   58672	     20461 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-32         	   58214	     20495 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-32         	   58698	     20496 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-32         	   58675	     20493 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-32      	   44917	     26839 ns/op	   52224 B/op	    1028 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-32      	   44829	     26779 ns/op	   52224 B/op	    1028 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-32      	   44703	     26918 ns/op	   52224 B/op	    1028 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-32      	   44880	     26880 ns/op	   52224 B/op	    1028 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-32      	   44654	     27016 ns/op	   52224 B/op	    1028 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-32      	   41689	     28284 ns/op	   52224 B/op	    1028 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-32      	   44682	     26905 ns/op	   52224 B/op	    1028 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-32      	   44570	     26927 ns/op	   52224 B/op	    1028 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-32      	   44596	     26914 ns/op	   52224 B/op	    1028 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-32      	   44660	     26966 ns/op	   52224 B/op	    1028 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-32   	   49034	     24409 ns/op	   56728 B/op	    1025 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-32   	   49036	     24309 ns/op	   56728 B/op	    1025 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-32   	   49458	     24353 ns/op	   56728 B/op	    1025 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-32   	   49495	     24195 ns/op	   56728 B/op	    1025 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_100-32   	   49651	     24289 ns/op	   56728 B/op	    1025 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-32        	    3963	    318175 ns/op	  479799 B/op	    8033 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-32        	    3816	    321457 ns/op	  479790 B/op	    8033 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-32        	    3705	    324232 ns/op	  479790 B/op	    8033 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-32        	    3697	    325369 ns/op	  479791 B/op	    8033 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-32        	    3698	    322804 ns/op	  479790 B/op	    8033 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-32     	    2979	    399698 ns/op	  607809 B/op	   10034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-32     	    3064	    402057 ns/op	  607809 B/op	   10034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-32     	    3051	    400867 ns/op	  607809 B/op	   10034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-32     	    3000	    400313 ns/op	  607809 B/op	   10034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-32     	    2899	    402749 ns/op	  607810 B/op	   10034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-32     	    3048	    397918 ns/op	  607808 B/op	   10034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-32     	    3153	    399330 ns/op	  607810 B/op	   10034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-32     	    3056	    401246 ns/op	  607809 B/op	   10034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-32     	    3086	    399484 ns/op	  607811 B/op	   10034 allocs/op
