goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M3 Ultra
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-32        	    3057	    374298 ns/op	  479790 B/op	    8033 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_1000-32        	    3212	    373864 ns/op	  479791 B/op	    8033 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-32     	    2320	    510132 ns/op	  655810 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-32     	    2338	    513428 ns/op	  655811 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-32     	    2323	    512538 ns/op	  655811 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-32     	    2392	    512270 ns/op	  655810 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-32     	    2377	    515736 ns/op	  655811 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-32     	    2367	    514327 ns/op	  655811 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-32     	    2342	    513590 ns/op	  655810 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-32     	    2323	    516634 ns/op	  655810 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-32     	    2330	    511435 ns/op	  655810 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_1000-32     	    2379	    512932 ns/op	  655809 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-32     	    2355	    512046 ns/op	  655810 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-32     	    2296	    512833 ns/op	  655810 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-32     	    2358	    511677 ns/op	  655810 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-32     	    2366	    512293 ns/op	  655810 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-32     	    2377	    511286 ns/op	  655811 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-32     	    2311	    512217 ns/op	  655811 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-32     	    2346	    510152 ns/op	  655811 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-32     	    2367	    511135 ns/op	  655811 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-32     	    2382	    511970 ns/op	  655811 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_1000-32     	    2137	    523948 ns/op	  655811 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-32  	    2542	    468814 ns/op	  592825 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-32  	    2512	    474426 ns/op	  592824 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-32  	    2494	    472154 ns/op	  592824 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-32  	    2545	    478946 ns/op	  592825 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-32  	    2601	    481233 ns/op	  592825 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-32  	    2601	    479433 ns/op	  592825 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-32  	    2532	    469280 ns/op	  592824 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-32  	    2533	    475941 ns/op	  592825 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-32  	    2550	    472216 ns/op	  592825 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_1000-32  	    2446	    472605 ns/op	  592824 B/op	   11034 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-32        	     562	   2063671 ns/op	 2446370 B/op	   40062 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-32        	     571	   2055434 ns/op	 2446360 B/op	   40062 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_5000-32        	     609	   2097807 ns/op	 2446360 B/op	   40062 allocs/op
