goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M5
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/Nothing_bound-10   	   72975	     16461 ns/op	  128041 B/op	     417 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/Nothing_bound-10   	   72219	     15959 ns/op	  128041 B/op	     417 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/Nothing_bound-10   	   76030	     16195 ns/op	  128041 B/op	     417 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/Nothing_bound-10   	   76100	     16288 ns/op	  128041 B/op	     417 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/100/Nothing_bound-10   	   74012	     16332 ns/op	  128041 B/op	     417 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/EA_bound-10        	 5861758	       203.0 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/EA_bound-10        	 5854632	       205.3 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/EA_bound-10        	 5930553	       204.6 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/EA_bound-10        	 5873514	       204.8 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/EA_bound-10        	 5888287	       209.8 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/EA_bound-10       	 5694362	       209.4 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/EA_bound-10       	 5811765	       204.5 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/EA_bound-10       	 5879472	       204.5 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/EA_bound-10       	 5838849	       203.5 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/EA_bound-10       	 5940508	       204.9 ns/op	     680 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/E_bound-10         	 3027561	       394.6 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/E_bound-10         	 3028803	       549.7 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/E_bound-10         	 2708202	       416.8 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/E_bound-10         	 3037764	       400.2 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/1000/E_bound-10         	 2960368	       419.5 ns/op	    1352 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/1000/E_bound-10        	 2839776	       400.5 ns/op	    1352 B/op	      12 allocs/op
