goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M3 Ultra
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    4563	    263103 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3246	    367432 ns/op	  656273 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3139	    369297 ns/op	  656275 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3186	    365911 ns/op	  656273 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3320	    367737 ns/op	  656274 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3266	    367397 ns/op	  656275 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3273	    368724 ns/op	  656274 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3403	    367891 ns/op	  656274 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3226	    369588 ns/op	  656274 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3291	    366844 ns/op	  656273 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3288	    367452 ns/op	  656274 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3266	    367577 ns/op	  656243 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3328	    366108 ns/op	  656243 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3273	    367680 ns/op	  656242 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3336	    366957 ns/op	  656241 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3422	    367811 ns/op	  656242 B/op	   11034 allocs/op
