goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M3 Ultra
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    4020	    280249 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3375	    368521 ns/op	  656275 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3321	    365520 ns/op	  656277 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3260	    380966 ns/op	  656273 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3211	    373259 ns/op	  656274 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3163	    380017 ns/op	  656274 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3439	    380415 ns/op	  656274 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3306	    370609 ns/op	  656274 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3192	    370996 ns/op	  656274 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3307	    384030 ns/op	  656275 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3273	    374720 ns/op	  656274 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3188	    375274 ns/op	  656242 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3277	    367712 ns/op	  656243 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3358	    368224 ns/op	  656241 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3300	    366685 ns/op	  656242 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3130	    371669 ns/op	  656241 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3232	    371285 ns/op	  656241 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3286	    371078 ns/op	  656242 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3267	    369706 ns/op	  656243 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3151	    370173 ns/op	  656242 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3291	    369797 ns/op	  656242 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3450	    362659 ns/op	  592825 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3484	    362195 ns/op	  592825 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3272	    359989 ns/op	  592826 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3176	    363859 ns/op	  592825 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3244	    356709 ns/op	  592825 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3337	    359848 ns/op	  592826 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3806	    366248 ns/op	  592825 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3435	    359858 ns/op	  592825 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3477	    362154 ns/op	  592827 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3492	    363048 ns/op	  592826 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_5000-32        	     674	   1786228 ns/op	 2446362 B/op	   40062 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_5000-32        	     672	   1811865 ns/op	 2446361 B/op	   40062 allocs/op
