goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M3 Ultra
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-32     	     476	   2514996 ns/op	 3035804 B/op	   50084 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-32     	     483	   2466847 ns/op	 3036040 B/op	   50083 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-32     	     482	   2552153 ns/op	 3036041 B/op	   50083 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-32     	     465	   2507655 ns/op	 3036043 B/op	   50083 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-32     	     484	   2496239 ns/op	 3036045 B/op	   50083 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_5000-32     	     488	   2518283 ns/op	 3036038 B/op	   50083 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-32  	     471	   2514874 ns/op	 2808850 B/op	   50086 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-32  	     482	   2522200 ns/op	 2808850 B/op	   50086 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-32  	     481	   2538755 ns/op	 2808850 B/op	   50086 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-32  	     484	   2519771 ns/op	 2808846 B/op	   50086 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_5000-32  	     481	   2516994 ns/op	 2808850 B/op	   50086 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-32  	    4629	    262083 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-32  	    4526	    259378 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-32  	    4750	    262665 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-32  	    4570	    262191 ns/op	  479787 B/op	    8033 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/materialized-32  	    4603	    262267 ns/op	  479789 B/op	    8033 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-32     	    3482	    351634 ns/op	  608272 B/op	   10034 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-32     	    3514	    349113 ns/op	  608273 B/op	   10034 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-32     	    3382	    351135 ns/op	  608273 B/op	   10034 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-32     	    3384	    349417 ns/op	  608273 B/op	   10034 allocs/op
BenchmarkHashJoinMaterializedVsStreaming/streaming-32     	    3445	    347244 ns/op	  608273 B/op	   10034 allocs/op
BenchmarkHashJoinStreaming/size_100-32                    	   57147	     20892 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinStreaming/size_100-32                    	   57420	     21178 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinStreaming/size_100-32                    	   56977	     20947 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinStreaming/size_100-32                    	   57669	     20904 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinStreaming/size_100-32                    	   57513	     20978 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinStreaming/size_1000-32                   	    4645	    255588 ns/op	  479789 B/op	    8033 allocs/op
BenchmarkHashJoinStreaming/size_1000-32                   	    4658	    258912 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinStreaming/size_1000-32                   	    4501	    257826 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinStreaming/size_1000-32                   	    5083	    259965 ns/op	  479789 B/op	    8033 allocs/op
BenchmarkHashJoinStreaming/size_1000-32                   	    4377	    259552 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinStreaming/size_10000-32                  	     330	   3575878 ns/op	 4849304 B/op	   80096 allocs/op
BenchmarkHashJoinStreaming/size_10000-32                  	     332	   3562432 ns/op	 4849303 B/op	   80096 allocs/op
BenchmarkHashJoinStreaming/size_10000-32                  	     331	   3578351 ns/op	 4849304 B/op	   80096 allocs/op
BenchmarkHashJoinStreaming/size_10000-32                  	     330	   3584371 ns/op	 4849308 B/op	   80096 allocs/op
BenchmarkHashJoinStreaming/size_10000-32                  	     332	   3626871 ns/op	 4849304 B/op	   80096 allocs/op
BenchmarkHashJoinSingleIteration-32                       	    4394	    257996 ns/op	  479789 B/op	    8033 allocs/op
BenchmarkHashJoinSingleIteration-32                       	    4496	    257244 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinSingleIteration-32                       	    4754	    261536 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinSingleIteration-32                       	    4465	    260701 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinSingleIteration-32                       	    4489	    260044 ns/op	  479789 B/op	    8033 allocs/op
BenchmarkHashJoinLargeResult/size_10000-32                	     327	   3630288 ns/op	 4849299 B/op	   80096 allocs/op
BenchmarkHashJoinLargeResult/size_10000-32                	     337	   3598721 ns/op	 4849308 B/op	   80096 allocs/op
BenchmarkHashJoinLargeResult/size_10000-32                	     332	   3595717 ns/op	 4849304 B/op	   80096 allocs/op
BenchmarkHashJoinLargeResult/size_10000-32                	     328	   3558054 ns/op	 4849305 B/op	   80096 allocs/op
BenchmarkHashJoinLargeResult/size_10000-32                	     337	   3589853 ns/op	 4849305 B/op	   80096 allocs/op
BenchmarkHashJoinLargeResult/size_50000-32                	      75	  16929365 ns/op	24366490 B/op	  400295 allocs/op
BenchmarkHashJoinLargeResult/size_50000-32                	      70	  16353446 ns/op	24366496 B/op	  400295 allocs/op
BenchmarkHashJoinLargeResult/size_50000-32                	      73	  16240385 ns/op	24366485 B/op	  400295 allocs/op
BenchmarkHashJoinLargeResult/size_50000-32                	      66	  16210843 ns/op	24366498 B/op	  400295 allocs/op
BenchmarkHashJoinLargeResult/size_50000-32                	      73	  16237990 ns/op	24366493 B/op	  400295 allocs/op
PASS
goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M3 Ultra
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   58525	     20566 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   58240	     20687 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   57958	     20709 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   57760	     20694 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   58150	     20665 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   44466	     27002 ns/op	   52256 B/op	    1028 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   44467	     27063 ns/op	   52256 B/op	    1028 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   44462	     26987 ns/op	   52256 B/op	    1028 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   44464	     27013 ns/op	   52256 B/op	    1028 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   44337	     27097 ns/op	   52256 B/op	    1028 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   44671	     26981 ns/op	   52256 B/op	    1028 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   44432	     27051 ns/op	   52256 B/op	    1028 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   44521	     26967 ns/op	   52256 B/op	    1028 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   44564	     27214 ns/op	   52256 B/op	    1028 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   44404	     27106 ns/op	   52256 B/op	    1028 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   48865	     24520 ns/op	   56728 B/op	    1025 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   48891	     24642 ns/op	   56728 B/op	    1025 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   48703	     24516 ns/op	   56728 B/op	    1025 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   48884	     24628 ns/op	   56728 B/op	    1025 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   48570	     25146 ns/op	   56728 B/op	    1025 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    4420	    262722 ns/op	  479796 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    4292	    252435 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    4706	    255484 ns/op	  479789 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    4456	    254774 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    4780	    253299 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3351	    340700 ns/op	  608273 B/op	   10034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3460	    343845 ns/op	  608273 B/op	   10034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3596	    341404 ns/op	  608274 B/op	   10034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3468	    342570 ns/op	  608274 B/op	   10034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3573	    346762 ns/op	  608273 B/op	   10034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3429	    342257 ns/op	  608240 B/op	   10034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3464	    342611 ns/op	  608241 B/op	   10034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3402	    341568 ns/op	  608241 B/op	   10034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3518	    345377 ns/op	  608241 B/op	   10034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3495	    342701 ns/op	  608242 B/op	   10034 allocs/op
