goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M3 Ultra
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    4075	    292849 ns/op	  479772 B/op	    8032 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3057	    399650 ns/op	  656290 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3097	    402523 ns/op	  656290 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3060	    401428 ns/op	  656290 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    2992	    401009 ns/op	  656291 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3010	    418384 ns/op	  656294 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3004	    405280 ns/op	  656291 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3091	    400948 ns/op	  656290 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3048	    399660 ns/op	  656292 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    2995	    401864 ns/op	  656291 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    2994	    402847 ns/op	  656291 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3049	    401522 ns/op	  656259 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    2990	    401337 ns/op	  656259 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    2980	    399438 ns/op	  656258 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3009	    402456 ns/op	  656258 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    2948	    398652 ns/op	  656259 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3022	    400782 ns/op	  656258 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    2982	    400415 ns/op	  656258 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3078	    399082 ns/op	  656258 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    2968	    398843 ns/op	  656258 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    2964	    401268 ns/op	  656258 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3162	    393407 ns/op	  592841 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3042	    393292 ns/op	  592842 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3105	    389284 ns/op	  592843 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    2980	    389741 ns/op	  592842 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3063	    391290 ns/op	  592841 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3075	    385773 ns/op	  592841 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3138	    384622 ns/op	  592842 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3002	    392991 ns/op	  592842 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3133	    394841 ns/op	  592843 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3027	    395878 ns/op	  592842 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_5000-32        	     582	   1976416 ns/op	 2446355 B/op	   40061 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_5000-32        	     610	   1981796 ns/op	 2446353 B/op	   40061 allocs/op
