goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M3 Ultra
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   55794	     21839 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   53623	     21952 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   54373	     22016 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   54894	     22039 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   54558	     21990 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   54019	     21998 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   55292	     22116 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   54890	     22135 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   53914	     21983 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   54786	     22080 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   39009	     30974 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   38655	     31235 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   38503	     31063 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   39288	     30890 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   38676	     31025 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   38869	     31309 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   38464	     30996 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   38613	     31175 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   38244	     31197 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   38809	     31066 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   38948	     30996 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   38756	     31239 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   38640	     30936 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   38637	     31109 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   38702	     31179 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   38538	     31066 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   38935	     31079 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   38817	     31189 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   38661	     31205 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   38478	     30947 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   42555	     28110 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   42924	     27911 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   42666	     28151 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   42627	     28158 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   42208	     29153 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   43117	     28023 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   42432	     28101 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   42973	     27857 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   42428	     28050 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   43004	     28163 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    4690	    261274 ns/op	  479791 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    4785	    261997 ns/op	  479789 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    5031	    260079 ns/op	  479787 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    4714	    260655 ns/op	  479790 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    4623	    261668 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    4632	    258951 ns/op	  479787 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    4742	    260684 ns/op	  479787 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    4804	    259927 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    5018	    257648 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    4502	    258975 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3310	    369451 ns/op	  656275 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3319	    366866 ns/op	  656274 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3307	    367148 ns/op	  656275 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3086	    370050 ns/op	  656274 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3207	    368546 ns/op	  656273 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3234	    367376 ns/op	  656274 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3268	    366945 ns/op	  656274 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3370	    367110 ns/op	  656275 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3322	    371118 ns/op	  656274 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3243	    368381 ns/op	  656275 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3384	    363895 ns/op	  656242 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3344	    369998 ns/op	  656242 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3280	    368138 ns/op	  656242 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3277	    372242 ns/op	  656241 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3261	    368386 ns/op	  656241 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3232	    364412 ns/op	  656243 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3207	    367560 ns/op	  656244 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3325	    365111 ns/op	  656241 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3236	    365468 ns/op	  656242 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-32     	    3338	    368385 ns/op	  656243 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3289	    389764 ns/op	  592825 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3060	    365061 ns/op	  592825 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3252	    366294 ns/op	  592826 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3254	    366757 ns/op	  592827 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3330	    365196 ns/op	  592826 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3243	    360525 ns/op	  592827 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3170	    362545 ns/op	  592826 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3423	    366542 ns/op	  592829 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-32  	    3372	    363838 ns/op	  592826 B/op	   11034 allocs/op
