goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M5
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-10        	    5840	    205983 ns/op	  479748 B/op	    8031 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-10     	    4579	    272229 ns/op	  656282 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-10     	    4508	    266204 ns/op	  656282 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-10     	    4603	    266216 ns/op	  656282 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-10     	    4401	    267885 ns/op	  656283 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-10     	    4632	    266226 ns/op	  656283 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-10     	    4419	    264356 ns/op	  656282 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-10     	    4566	    266046 ns/op	  656284 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-10     	    4582	    267790 ns/op	  656282 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-10     	    4628	    265412 ns/op	  656282 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-10     	    4476	    266884 ns/op	  656282 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-10     	    4579	    270180 ns/op	  656249 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-10     	    4314	    268457 ns/op	  656250 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-10     	    4344	    270623 ns/op	  656250 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-10     	    4616	    264687 ns/op	  656250 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-10     	    4558	    265812 ns/op	  656249 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-10     	    4454	    268234 ns/op	  656250 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-10     	    4438	    272196 ns/op	  656250 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-10     	    4598	    285562 ns/op	  656250 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-10     	    4489	    286964 ns/op	  656250 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_1000-10     	    4215	    268141 ns/op	  656250 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-10  	    4576	    265526 ns/op	  592836 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-10  	    4414	    279892 ns/op	  592837 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-10  	    4525	    269826 ns/op	  592836 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-10  	    4496	    282494 ns/op	  592837 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-10  	    4203	    269866 ns/op	  592836 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-10  	    4328	    270196 ns/op	  592837 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-10  	    4612	    265688 ns/op	  592837 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-10  	    4407	    268569 ns/op	  592837 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-10  	    4519	    265655 ns/op	  592836 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_1000-10  	    4544	    297731 ns/op	  592837 B/op	   11033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_5000-10        	     962	   1262262 ns/op	 2446323 B/op	   40060 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_5000-10        	    1011	   1241348 ns/op	 2446320 B/op	   40060 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_5000-10        	    1000	   1216388 ns/op	 2446322 B/op	   40060 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_5000-10        	    1008	   1194977 ns/op	 2446322 B/op	   40060 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_5000-10        	    1009	   1199738 ns/op	 2446319 B/op	   40060 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_5000-10        	     997	   1202504 ns/op	 2446316 B/op	   40060 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_5000-10        	     994	   1200319 ns/op	 2446316 B/op	   40060 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_5000-10        	    1004	   1205938 ns/op	 2446316 B/op	   40060 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_5000-10        	     997	   1198997 ns/op	 2446318 B/op	   40060 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_5000-10        	     997	   1202630 ns/op	 2446319 B/op	   40060 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-10     	     699	   1720546 ns/op	 3275807 B/op	   55083 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-10     	     706	   1702558 ns/op	 3275810 B/op	   55083 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_5000-10     	     686	   1726131 ns/op	 3275810 B/op	   55083 allocs/op
