goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M3 Ultra
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-32     	     384	   3149633 ns/op	 3274132 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-32     	     379	   3175167 ns/op	 3274138 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-32     	     391	   3136317 ns/op	 3274132 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-32     	     381	   3141290 ns/op	 3274133 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-32     	     381	   3165368 ns/op	 3274134 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-32     	     376	   3149469 ns/op	 3274134 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-32     	     387	   3133004 ns/op	 3274136 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-32     	     385	   3153602 ns/op	 3274137 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-32  	     399	   2973013 ns/op	 3048843 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-32  	     404	   2955163 ns/op	 3048836 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-32  	     398	   3010121 ns/op	 3048843 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-32  	     397	   2970627 ns/op	 3048845 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-32  	     403	   2926680 ns/op	 3048841 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-32     	     470	   2527173 ns/op	 3416523 B/op	   24699 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-32     	     466	   2522860 ns/op	 3416523 B/op	   24699 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-32     	     484	   2532491 ns/op	 3416522 B/op	   24699 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-32     	     484	   2526894 ns/op	 3416519 B/op	   24699 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-32     	     489	   2481233 ns/op	 3416520 B/op	   24699 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-32     	      19	  59507487 ns/op	99510815 B/op	  522896 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-32     	      20	  59495215 ns/op	99506752 B/op	  522896 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-32     	      19	  59108963 ns/op	99467701 B/op	  522894 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-32     	      18	  58823887 ns/op	99524530 B/op	  522897 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-32     	      19	  60260836 ns/op	99510825 B/op	  522896 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-32     	      22	  47319280 ns/op	68002261 B/op	  444574 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-32     	      22	  46941110 ns/op	68002230 B/op	  444573 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-32     	      22	  47696286 ns/op	68002243 B/op	  444573 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-32     	      25	  48725873 ns/op	68002274 B/op	  444574 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-32     	      22	  48236017 ns/op	68002243 B/op	  444573 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-32       	     132	   9126710 ns/op	 5129477 B/op	  104127 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-32       	     133	   9051593 ns/op	 5129457 B/op	  104127 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-32       	     130	   9076170 ns/op	 5129464 B/op	  104127 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-32       	     132	   9115573 ns/op	 5129473 B/op	  104127 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-32       	     132	   9128722 ns/op	 5129473 B/op	  104127 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-32        	     100	  11766852 ns/op	 6728336 B/op	  135487 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-32        	     100	  11643097 ns/op	 6728333 B/op	  135487 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-32        	     100	  11484797 ns/op	 6728326 B/op	  135487 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-32        	     100	  11523505 ns/op	 6728338 B/op	  135487 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-32        	     100	  11478065 ns/op	 6728325 B/op	  135487 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-32          	     291	   4099028 ns/op	 4849304 B/op	   80096 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-32          	     288	   4155861 ns/op	 4849302 B/op	   80096 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-32          	     290	   4167322 ns/op	 4849301 B/op	   80096 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-32          	     288	   4132425 ns/op	 4849305 B/op	   80096 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_10000-32          	     290	   4032346 ns/op	 4849305 B/op	   80096 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-32          	      54	  19509792 ns/op	24366482 B/op	  400295 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-32          	      61	  19797042 ns/op	24366487 B/op	  400295 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-32          	      56	  19602199 ns/op	24366494 B/op	  400295 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-32          	      51	  19672448 ns/op	24366492 B/op	  400295 allocs/op
BenchmarkHashJoinIdentityLargeResult/size_50000-32          	      61	  19665680 ns/op	24366495 B/op	  400295 allocs/op
PASS
goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M3 Ultra
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-32         	   45784	     26716 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-32         	   44697	     26617 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-32         	   40958	     28012 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-32         	   44851	     26760 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_mat/size_100-32         	   45219	     26788 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-32      	   32731	     36722 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-32      	   32401	     36730 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-32      	   32355	     36867 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-32      	   32370	     36894 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_100-32      	   32871	     36876 ns/op	   57024 B/op	    1128 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_100-32      	   32468	     36979 ns/op	   57024 B/op	    1128 allocs/op
