goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M5
                                                  │ /private/tmp/claude-501/-Users-wbrown-src-janus-datalog/98574c29-f8bf-49f5-a57c-b5158da54f52/scratchpad/hashjoin_base.txt │ /private/tmp/claude-501/-Users-wbrown-src-janus-datalog/98574c29-f8bf-49f5-a57c-b5158da54f52/scratchpad/hashjoin_head.txt │
                                                  │                                                          sec/op                                                           │                                               sec/op                                                vs base               │
HashJoinIdentityLargeResult/size_50000-10                                                                                                                        21.71Mi ± 0%                                                                                       21.71Mi ± 0%  -0.00% (p=0.001 n=10)
geomean                                                                                                                                                          893.2Ki                                                                                            893.2Ki       -0.01%
¹ all samples are equal

                                                  │ /private/tmp/claude-501/-Users-wbrown-src-janus-datalog/98574c29-f8bf-49f5-a57c-b5158da54f52/scratchpad/hashjoin_base.txt │ /private/tmp/claude-501/-Users-wbrown-src-janus-datalog/98574c29-f8bf-49f5-a57c-b5158da54f52/scratchpad/hashjoin_head.txt │
                                                  │                                                         allocs/op                                                         │                                            allocs/op                                              vs base                 │
HashJoinInputTypes/mat_x_mat/size_100-10                                                                                                                           726.0 ± 0%                                                                                         725.0 ± 0%  -0.14% (p=0.000 n=10)
HashJoinInputTypes/stream_x_mat/size_100-10                                                                                                                        928.0 ± 0%                                                                                         928.0 ± 0%       ~ (p=1.000 n=10) ¹
HashJoinInputTypes/mat_x_stream/size_100-10                                                                                                                        928.0 ± 0%                                                                                         928.0 ± 0%       ~ (p=1.000 n=10) ¹
HashJoinInputTypes/stream_x_stream/size_100-10                                                                                                                     925.0 ± 0%                                                                                         925.0 ± 0%       ~ (p=1.000 n=10) ¹
HashJoinInputTypes/mat_x_mat/size_1000-10                                                                                                                         7.033k ± 0%                                                                                        7.032k ± 0%  -0.01% (p=0.000 n=10)
HashJoinInputTypes/stream_x_mat/size_1000-10                                                                                                                      9.034k ± 0%                                                                                        9.034k ± 0%       ~ (p=1.000 n=10) ¹
