goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M3 Ultra
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-32     	     434	   2732982 ns/op	 3274133 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-32     	     440	   2746181 ns/op	 3274137 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_mat/size_5000-32     	     452	   2771231 ns/op	 3274131 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-32     	     438	   2746667 ns/op	 3274130 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-32     	     441	   2751175 ns/op	 3274135 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-32     	     432	   2732708 ns/op	 3274136 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-32     	     438	   2771115 ns/op	 3274130 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/mat_x_stream/size_5000-32     	     429	   2754851 ns/op	 3274138 B/op	   55084 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-32  	     446	   2692940 ns/op	 3048843 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-32  	     445	   2715069 ns/op	 3048840 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-32  	     451	   2692920 ns/op	 3048838 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-32  	     450	   2705432 ns/op	 3048844 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityKeys/stream_x_stream/size_5000-32  	     446	   2688536 ns/op	 3048845 B/op	   55086 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-32     	     517	   2245977 ns/op	 3416519 B/op	   24699 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-32     	     510	   2265164 ns/op	 3416520 B/op	   24699 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-32     	     518	   2302724 ns/op	 3416521 B/op	   24699 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-32     	     524	   2264948 ns/op	 3416521 B/op	   24699 allocs/op
