goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M3 Ultra
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   53282	     20926 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   57460	     20984 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   57072	     21188 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   56934	     21040 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   57093	     21010 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   49183	     21706 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   56996	     21007 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   57285	     20959 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   57350	     20982 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_100-32         	   57004	     20932 ns/op	   43352 B/op	     826 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   40736	     29395 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   40790	     29412 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   40756	     29384 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   40687	     29502 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   40886	     31624 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   39804	     30075 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   40816	     29457 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   40438	     29501 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   40567	     29476 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_100-32      	   40609	     29433 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   40788	     29389 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   40884	     29477 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   40868	     29375 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   40804	     29478 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   40656	     29485 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   40880	     29489 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   40842	     29451 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   40406	     29564 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   40545	     29540 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/mat_x_stream/size_100-32      	   40770	     29443 ns/op	   57056 B/op	    1128 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   44540	     26942 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   44511	     27128 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   44372	     27029 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   44386	     27113 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   44127	     27013 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   44173	     27152 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   44403	     28931 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   44240	     27085 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   43929	     27029 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinInputTypes/stream_x_stream/size_100-32   	   44163	     27142 ns/op	   61528 B/op	    1125 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    5157	    264650 ns/op	  479794 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    4611	    264656 ns/op	  479789 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    4426	    264083 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    4357	    265642 ns/op	  479789 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    5085	    266010 ns/op	  479789 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    4438	    265554 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    4460	    264789 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    4459	    265469 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    4489	    265479 ns/op	  479788 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/mat_x_mat/size_1000-32        	    4525	    264509 ns/op	  479787 B/op	    8033 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3182	    370020 ns/op	  656274 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3223	    368890 ns/op	  656274 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3237	    370827 ns/op	  656274 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3212	    368676 ns/op	  656275 B/op	   11034 allocs/op
BenchmarkHashJoinInputTypes/stream_x_mat/size_1000-32     	    3238	    369887 ns/op	  656274 B/op	   11034 allocs/op
